controller,n,seed,placed,completed,mwt,mean_time_loss
fixed,50,0,50,50,26.04,44.51039999999999
fixed,50,1,50,50,22.58,40.756600000000006
fixed,50,2,50,50,27.74,45.821400000000004
fixed,100,0,100,100,22.77,40.95450000000001
fixed,100,1,100,100,23.21,42.0264
fixed,100,2,100,100,29.66,49.3476
fixed,200,0,200,200,25.03,44.888500000000015
fixed,200,1,200,200,26.82,47.211900000000014
fixed,200,2,200,200,31.2,52.00829999999999
fixed,300,0,300,300,26.006666666666668,47.087800000000016
fixed,300,1,300,300,30.513333333333332,52.98806666666669
fixed,300,2,300,300,31.363333333333333,53.27246666666664
fixed,450,0,450,450,40.32222222222222,67.16500000000006
fixed,450,1,450,450,44.19777777777778,71.57115555555556
fixed,450,2,450,450,35.66444444444444,60.73615555555557
fixed,600,0,600,600,52.08,85.92359999999996
fixed,600,1,600,600,63.343333333333334,100.05626666666657
fixed,600,2,600,600,60.685,98.23086666666664
fixed,800,0,800,520,95.25192307692308,147.0980961538462
fixed,800,1,800,758,190.4736147757256,285.66887862796835
fixed,800,2,800,438,112.35616438356165,170.25305936073067
fixed,1000,0,1000,433,161.32794457274827,235.26870669745946
fixed,1000,1,1000,344,106.73546511627907,163.31502906976755
fixed,1000,2,1000,340,120.27941176470588,180.69047058823529
fixed,1300,0,1300,186,96.0,142.37032258064514
fixed,1300,1,1300,189,107.74603174603175,165.31476190476198
fixed,1300,2,1300,163,122.58282208588957,177.76349693251535
fixed,1700,0,1700,145,86.51724137931035,130.69862068965517
fixed,1700,1,1700,114,83.41228070175438,130.42526315789473
fixed,1700,2,1700,113,94.3716814159292,146.64690265486723
actuated,50,0,50,50,13.82,32.711400000000005
actuated,50,1,50,50,8.06,24.83180000000001
actuated,50,2,50,50,12.7,30.785400000000003
actuated,100,0,100,100,13.39,31.945000000000007
actuated,100,1,100,100,16.46,36.27549999999999
actuated,100,2,100,100,10.79,28.477699999999995
actuated,200,0,200,200,17.215,37.22889999999999
actuated,200,1,200,200,25.2,47.46289999999999
actuated,200,2,200,200,29.555,51.792899999999975
actuated,300,0,300,300,31.243333333333332,55.27783333333333
actuated,300,1,300,300,55.846666666666664,85.32056666666666
actuated,300,2,300,300,25.663333333333334,48.676166666666695
actuated,450,0,450,450,63.29333333333334,100.5813111111111
actuated,450,1,450,450,69.08222222222223,110.86555555555562
actuated,450,2,450,450,81.58888888888889,124.38433333333333
