controller,n,seed,placed,completed,mwt,mean_time_loss,mean_in_system,departed,action_hold,action_expert,action_override
fixed,50,0,50,50,26.04,44.5104,4.3213988343047465,50,0,0,0
fixed,50,1,50,50,22.58,40.7566,4.414654454621149,50,0,0,0
fixed,50,2,50,50,27.74,45.821400000000004,4.434637801831807,50,0,0,0
fixed,50,3,50,50,21.56,38.786,4.046627810158202,50,0,0,0
fixed,50,4,50,50,26.62,45.791199999999996,4.358034970857618,50,0,0,0
fixed,50,5,50,50,22.52,39.147800000000004,3.7410491257285594,50,0,0,0
fixed,50,6,50,50,23.9,41.055600000000005,3.8825978351373855,50,0,0,0
fixed,50,7,50,50,23.4,41.012,4.084929225645295,50,0,0,0
fixed,50,8,50,50,17.72,33.848,3.754371357202331,50,0,0,0
fixed,50,9,50,50,23.76,41.3288,3.860949208992506,50,0,0,0
fixed,100,0,100,100,22.77,40.954499999999996,8.058284762697753,100,0,0,0
fixed,100,1,100,100,23.21,42.0264,8.680266444629476,100,0,0,0
fixed,100,2,100,100,29.66,49.3476,8.58368026644463,100,0,0,0
fixed,100,3,100,100,25.01,43.53229999999999,8.274771024146544,100,0,0,0
fixed,100,4,100,100,24.4,43.809200000000004,8.601165695253956,100,0,0,0
fixed,100,5,100,100,22.58,40.634699999999995,8.0774354704413,100,0,0,0
fixed,100,6,100,100,26.87,45.8249,8.398834304746044,100,0,0,0
fixed,100,7,100,100,21.75,39.9756,8.154038301415486,100,0,0,0
fixed,100,8,100,100,17.18,33.6427,7.288925895087427,100,0,0,0
fixed,100,9,100,100,22.8,40.7099,7.607826810990841,100,0,0,0
fixed,200,0,200,200,25.03,44.8885,16.713572023313905,200,0,0,0
fixed,200,1,200,200,26.82,47.21189999999999,17.174021648626145,200,0,0,0
fixed,200,2,200,200,31.2,52.0083,17.930890924229807,200,0,0,0
fixed,200,3,200,200,28.88,48.89810000000001,17.299750208159868,200,0,0,0
fixed,200,4,200,200,24.03,43.8263,16.930058284762698,200,0,0,0
fixed,200,5,200,200,24.32,43.55455,16.340549542048294,200,0,0,0
fixed,200,6,200,200,29.33,49.64135,17.371357202331392,200,0,0,0
fixed,200,7,200,200,25.26,45.22905,16.89758534554538,200,0,0,0
fixed,200,8,200,200,23.77,43.0268,16.383014154870942,200,0,0,0
fixed,200,9,200,200,24.06,43.1516,15.37052456286428,200,0,0,0
fixed,300,0,300,300,26.006666666666668,47.0878,26.07660283097419,300,0,0,0
fixed,300,1,300,300,30.513333333333332,52.98806666666667,27.321398834304745,300,0,0,0
fixed,300,2,300,300,31.363333333333333,53.272466666666666,27.139050791007495,300,0,0,0
fixed,300,3,300,300,33.416666666666664,56.3947,27.701082431307245,300,0,0,0
fixed,300,4,300,300,29.28,50.90286666666667,26.66278101582015,300,0,0,0
fixed,300,5,300,300,30.416666666666668,52.6586,26.581182348043296,300,0,0,0
fixed,300,6,300,300,30.37,52.74763333333333,26.874271440466277,300,0,0,0
fixed,300,7,300,300,30.283333333333335,52.4572,26.322231473771858,300,0,0,0
fixed,300,8,300,300,27.29,48.51306666666667,25.746044962531222,300,0,0,0
fixed,300,9,300,300,28.593333333333334,49.600633333333334,24.73938384679434,300,0,0,0
fixed,450,0,450,450,40.32222222222222,67.165,46.02581182348043,450,0,0,0
fixed,450,1,450,450,44.19777777777778,71.57115555555556,47.014154870940885,450,0,0,0
fixed,450,2,450,450,35.66444444444444,60.736155555555555,43.73272273105745,450,0,0,0
fixed,450,3,450,450,42.766666666666666,70.81955555555555,46.77851790174854,450,0,0,0
fixed,450,4,450,450,40.96222222222222,66.65937777777778,44.96752706078268,450,0,0,0
fixed,450,5,450,450,34.53777777777778,59.992577777777775,42.16236469608659,450,0,0,0
fixed,450,6,450,450,40.05555555555556,67.37911111111111,46.208159866777684,450,0,0,0
fixed,450,7,450,450,35.14222222222222,60.04062222222222,41.74604496253122,450,0,0,0
fixed,450,8,450,450,34.48444444444444,60.33566666666667,43.13655287260616,450,0,0,0
fixed,450,9,450,450,36.09777777777778,61.08508888888889,41.68526228143214,450,0,0,0
fixed,600,0,600,600,52.08,85.92360000000001,70.47377185678602,600,0,0,0
fixed,600,1,600,600,63.343333333333334,100.05626666666667,76.57618651124064,600,0,0,0
fixed,600,2,600,600,60.685,98.23086666666666,77.11823480432973,600,0,0,0
fixed,600,3,600,600,64.53833333333333,102.06165,77.35970024979184,600,0,0,0
fixed,600,4,600,600,59.33833333333333,93.39281666666668,73.21149042464613,600,0,0,0
fixed,600,5,600,600,55.501666666666665,89.69395,70.64363030807661,600,0,0,0
fixed,600,6,600,600,60.59166666666667,96.0584,75.0774354704413,600,0,0,0
fixed,600,7,600,600,60.04333333333334,96.63199999999999,74.23480432972524,600,0,0,0
fixed,600,8,600,600,66.29833333333333,106.21556666666666,79.85262281432139,600,0,0,0
fixed,600,9,600,600,58.20666666666666,93.6685,70.5736885928393,600,0,0,0
fixed,800,0,800,520,95.25192307692308,147.09809615384614,180.6427976686095,748,0,0,0
fixed,800,1,800,758,190.4736147757256,285.66887862796835,199.68442964196504,758,0,0,0
fixed,800,2,800,438,112.35616438356165,170.2530593607306,214.84679433805164,740,0,0,0
fixed,800,3,800,423,110.73995271867612,168.68243498817966,230.729392173189,727,0,0,0
fixed,800,4,800,774,109.39793281653746,169.66138242894058,142.270607826811,774,0,0,0
fixed,800,5,800,775,155.97677419354838,243.46516129032258,181.56286427976687,775,0,0,0
fixed,800,6,800,750,190.30533333333332,280.74925333333334,193.80849292256454,750,0,0,0
fixed,800,7,800,770,156.08051948051948,238.25907792207792,176.98667776852622,770,0,0,0
fixed,800,8,800,759,177.35573122529644,265.4215678524374,187.02914238134886,759,0,0,0
fixed,800,9,800,760,184.30921052631578,269.71628947368424,191.41548709408826,760,0,0,0
fixed,1000,0,1000,433,161.32794457274827,235.2687066974596,302.4879267277269,826,0,0,0
fixed,1000,1,1000,344,106.73546511627907,163.31502906976746,320.00166527893424,799,0,0,0
